series,metric,tokens,value
baseline,eval_loss,352483761,3.270126
baseline,eval_loss,362850930,3.261035
baseline,eval_loss,373218100,3.254629
baseline,eval_loss,383585269,3.243677
baseline,eval_loss,393952439,3.235576
baseline,eval_loss,404319608,3.223548
baseline,eval_loss,414686777,3.216939
baseline,eval_loss,425053947,3.216803
baseline,eval_loss,435421116,3.204384
baseline,eval_loss,445788286,3.202316
baseline,eval_loss,456155455,3.197250
baseline,eval_loss,466522625,3.189141
baseline,eval_loss,476889794,3.182759
baseline,eval_loss,487256963,3.173434
baseline,eval_loss,497624133,3.166968
baseline,eval_loss,507991302,3.160296
baseline,eval_loss,518358472,3.155747
baseline,tok_per_sec,2073434,318284.000000
baseline,tok_per_sec,3110151,327120.000000
baseline,tok_per_sec,4146868,327134.000000
baseline,tok_per_sec,5183585,319956.000000
baseline,tok_per_sec,6220302,329084.000000
baseline,tok_per_sec,7257019,321229.000000
baseline,tok_per_sec,8293736,328232.000000
baseline,tok_per_sec,9330452,336463.000000
baseline,tok_per_sec,10367169,318638.000000
baseline,tok_per_sec,11403886,18340.000000
baseline,tok_per_sec,12440603,327048.000000
baseline,tok_per_sec,13477320,322924.000000
baseline,tok_per_sec,14514037,322979.000000
baseline,tok_per_sec,15550754,339287.000000
baseline,tok_per_sec,16587471,315958.000000
baseline,tok_per_sec,17624188,320792.000000
baseline,tok_per_sec,18660905,318962.000000
baseline,tok_per_sec,19697622,328290.000000
baseline,tok_per_sec,20734339,325241.000000
baseline,tok_per_sec,21771056,233814.000000
baseline,tok_per_sec,22807773,345150.000000
baseline,tok_per_sec,23844490,320418.000000
baseline,tok_per_sec,24881207,323617.000000
baseline,tok_per_sec,25917924,318519.000000
baseline,tok_per_sec,26954641,329871.000000
baseline,tok_per_sec,27991357,327487.000000
baseline,tok_per_sec,29028074,335731.000000
baseline,tok_per_sec,30064791,303143.000000
baseline,tok_per_sec,31101508,333645.000000
baseline,tok_per_sec,32138225,227867.000000
baseline,tok_per_sec,33174942,330485.000000
baseline,tok_per_sec,34211659,344186.000000
baseline,tok_per_sec,35248376,327415.000000
baseline,tok_per_sec,36285093,306513.000000
baseline,tok_per_sec,37321810,324604.000000
baseline,tok_per_sec,38358527,319292.000000
baseline,tok_per_sec,39395244,323140.000000
baseline,tok_per_sec,40431961,314663.000000
baseline,tok_per_sec,41468678,325416.000000
baseline,tok_per_sec,42505395,236525.000000
baseline,tok_per_sec,43542112,332518.000000
baseline,tok_per_sec,44578829,321656.000000
baseline,tok_per_sec,45615546,322556.000000
baseline,tok_per_sec,46652262,232615.000000
baseline,tok_per_sec,47688979,323997.000000
baseline,tok_per_sec,48725696,306990.000000
baseline,tok_per_sec,49762413,330300.000000
baseline,tok_per_sec,50799130,331607.000000
baseline,tok_per_sec,51835847,327727.000000
baseline,tok_per_sec,52872564,248899.000000
baseline,tok_per_sec,53909281,284352.000000
baseline,tok_per_sec,54945998,335491.000000
baseline,tok_per_sec,55982715,299622.000000
baseline,tok_per_sec,57019432,304933.000000
baseline,tok_per_sec,58056149,328763.000000
baseline,tok_per_sec,59092866,312847.000000
baseline,tok_per_sec,60129583,325603.000000
baseline,tok_per_sec,61166300,321835.000000
baseline,tok_per_sec,62203017,332031.000000
